Master file Fergusson College Botanical Garden census,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Sr. no,Team,Census date,Species,GBH1,GBH2,GBH3,GBH4,GBH5,GBH6,GBH7,GBH8,GBH9,GBH10,GBH11,GBH12,Height (visual estimate),Tag number,Remarks,
213,"Ashish, Pranav",18-05-2018,Caesalpinia pulcherrima,25,,,,,,,,,,,,5,,,
214,"Ashish, Pranav",18-05-2018,Anogeissus seresius,83,,,,,,,,,,,,9,,,
215,"Ashish, Pranav",18-05-2018,Anogeissus seresius,53.6,,,,,,,,,,,,9,,,
216,"Ashish, Pranav",18-05-2018,Tamarindus indica,91.5,,,,,,,,,,,,11,,,
217,"Ashish, Pranav",18-05-2018,Anogeissus seresius,17,10,,,,,,,,,,,3,,,
218,"Ashish, Pranav",18-05-2018,Anogeissus seresius,12,12,,,,,,,,,,,2,,,
219,"Ashish, Pranav",18-05-2018,Anogeissus seresius,348,,,,,,,,,,,,18,,,
220,"Ashish, Pranav",18-05-2018,Ixora paveta,16,14,10,12.5,,,,,,,,,3,,,
221,"Ashish, Pranav",18-05-2018,Anogeissus seresius,25.5,13,16,13,,,,,,,,,5,,,
222,"Ashish, Pranav",18-05-2018,Ixora paveta,6,5,6,6,,,,,,,,,4,B2/P1-49,,
223,"Ashish, Pranav",18-05-2018,Commiphora wightii,5,,,,,,,,,,,,2,,"Addition to FC flora. Was present during and before 2006 (Dr. M.C. Mahajan, pers comm)",
224,"Ashish, Pranav",18-05-2018,Bombax ceiba,5,,,,,,,,,,,,1.5,,,
225,"Ashish, Pranav",18-05-2018,Ixora paveta,6,,,,,,,,,,,,2,,,
226,"Ashish, Pranav",18-05-2018,Thevettia peruviana,12,12,10,12,,,,,,,,,3,,,
227,"Ashish, Pranav",18-05-2018,Holoptelia integrifolia,149,,,,,,,,,,,,10,,,
228,"Ashish, Pranav",18-05-2018,Adansonia digitata,22.1,,,,,,,,,,,,6,,,
229,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,32,,,,,,,,,,,,3,,,
230,"Ashish, Pranav",18-05-2018,Ixora brachiata,26,,,,,,,,,,,,4,,,
231,"Ashish, Pranav",18-05-2018,Anogeissus seresius,128,,,,,,,,,,,,8,,,
232,"Ashish, Pranav",18-05-2018,Santalum album,29,,,,,,,,,,,,4,,,
233,"Ashish, Pranav",18-05-2018,Sterculia foetida,22,,,,,,,,,,,,4,,,
234,"Ashish, Pranav",18-05-2018,Heterophragma quadrilocure,41,,,,,,,,,,,,6,,,
235,"Ashish, Pranav",18-05-2018,Pongamia pinnata,112,130.1,,,,,,,,,,,10,,,
236,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,35,,,,,,,,,,,,4,,,
237,"Ashish, Pranav",18-05-2018,Anogeissus seresius,10,,,,,,,,,,,,2,,,
238,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,13,32,10,,,,,,,,,,3,,,
239,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,10,4,4,,,,,,,,,,3,,,
240,"Ashish, Pranav",18-05-2018,Anogeissus seresius,6,12,,,,,,,,,,,3,,,
241,"Ashish, Pranav",18-05-2018,Zizyphus mauritiana,42,,,,,,,,,,,,6,,,
242,"Ashish, Pranav",18-05-2018,Tectona grandis,42.5,,,,,,,,,,,,6,,,
243,"Ashish, Pranav",18-05-2018,Ixora brachiata,20,20,,,,,,,,,,,5,,,
244,"Ashish, Pranav",18-05-2018,Santalum album,27.2,,,,,,,,,,,,5,,,
245,"Ashish, Pranav",18-05-2018,Annona reticulata,32,,,,,,,,,,,,7,,,
246,"Ashish, Pranav",18-05-2018,Peltophorum pterocarpum,134,,,,,,,,,,,,11,,,
247,"Ashish, Pranav",18-05-2018,Anogeissus seresius,11,,,,,,,,,,,,2,,,
248,"Ashish, Pranav",18-05-2018,Kigellia pinnata,11,,,,,,,,,,,,3,,90% Kigellia. Confirm in later samplings that it is not Spathodea campanulata,
249,"Ashish, Pranav",18-05-2018,Mimusops elengii,11,,,,,,,,,,,,3,,,
250,"Ashish, Pranav",18-05-2018,Peltophorum pterocarpum,15,81,12,,,,,,,,,,11,,,
251,"Ashish, Pranav",18-05-2018,Mimusops elengii,15.2,,,,,,,,,,,,3,,,
252,"Ashish, Pranav",18-05-2018,Pterocarpus marsupium,13,,,,,,,,,,,,3,,"near small baobab, pinnate leaves. Addition to FC flora",
253,"Ashish, Pranav",18-05-2018,Santalum album,28,,,,,,,,,,,,6,,,
